attendance_id,student_id,school_id,attendance_month,possible_days,attended_days,absence_reason
ATT00000001,STU000001,SCH009,2024-01-01,0,0,
ATT00000002,STU000001,SCH009,2024-02-01,18,16,Medical
ATT00000003,STU000001,SCH009,2024-03-01,18,17,Medical
ATT00000004,STU000001,SCH009,2024-04-01,22,21,Other
ATT00000005,STU000001,SCH009,2024-05-01,18,17,Unauthorised
ATT00000006,STU000001,SCH009,2024-06-01,21,17,Other
ATT00000007,STU000001,SCH009,2024-07-01,22,17,Illness
ATT00000008,STU000001,SCH009,2024-08-01,18,14,Unauthorised
ATT00000009,STU000001,SCH009,2024-09-01,22,19,Medical
ATT00000010,STU000001,SCH009,2024-10-01,21,21,
ATT00000011,STU000001,SCH009,2024-11-01,21,19,Illness
ATT00000012,STU000001,SCH009,2024-12-01,10,9,Other
ATT00000013,STU000002,SCH016,2024-01-01,0,0,
ATT00000014,STU000002,SCH016,2024-02-01,22,21,Other
ATT00000015,STU000002,SCH016,2024-03-01,19,17,Medical
ATT00000016,STU000002,SCH016,2024-04-01,21,15,Other
ATT00000017,STU000002,SCH016,2024-05-01,21,16,Unauthorised
ATT00000018,STU000002,SCH016,2024-06-01,21,15,Family
ATT00000019,STU000002,SCH016,2024-07-01,18,12,Medical
ATT00000020,STU000002,SCH016,2024-08-01,21,21,
ATT00000021,STU000002,SCH016,2024-09-01,22,19,Family
ATT00000022,STU000002,SCH016,2024-10-01,21,18,Medical
ATT00000023,STU000002,SCH016,2024-11-01,22,19,Illness
ATT00000024,STU000002,SCH016,2024-12-01,13,12,Family
ATT00000025,STU000003,SCH007,2024-01-01,0,0,
ATT00000026,STU000003,SCH007,2024-02-01,22,19,Family
ATT00000027,STU000003,SCH007,2024-03-01,22,22,
ATT00000028,STU000003,SCH007,2024-04-01,19,19,
ATT00000029,STU000003,SCH007,2024-05-01,19,18,Medical
ATT00000030,STU000003,SCH007,2024-06-01,19,17,Other
ATT00000031,STU000003,SCH007,2024-07-01,22,19,Unauthorised
ATT00000032,STU000003,SCH007,2024-08-01,18,14,Unauthorised
ATT00000033,STU000003,SCH007,2024-09-01,21,18,Unauthorised
ATT00000034,STU000003,SCH007,2024-10-01,20,16,Medical
ATT00000035,STU000003,SCH007,2024-11-01,21,21,
ATT00000036,STU000003,SCH007,2024-12-01,12,11,Medical
ATT00000037,STU000004,SCH047,2024-01-01,0,0,
ATT00000038,STU000004,SCH047,2024-02-01,20,18,Family
ATT00000039,STU000004,SCH047,2024-03-01,20,16,Unauthorised
ATT00000040,STU000004,SCH047,2024-04-01,20,20,
ATT00000041,STU000004,SCH047,2024-05-01,19,19,
ATT00000042,STU000004,SCH047,2024-06-01,21,18,Family
ATT00000043,STU000004,SCH047,2024-07-01,18,14,Illness
ATT00000044,STU000004,SCH047,2024-08-01,18,13,Family
ATT00000045,STU000004,SCH047,2024-09-01,22,18,Family
ATT00000046,STU000004,SCH047,2024-10-01,20,16,Family
ATT00000047,STU000004,SCH047,2024-11-01,22,22,
ATT00000048,STU000004,SCH047,2024-12-01,10,4,Other
ATT00000049,STU000005,SCH047,2024-01-01,0,0,
ATT00000050,STU000005,SCH047,2024-02-01,19,13,Illness
ATT00000051,STU000005,SCH047,2024-03-01,20,19,Medical
ATT00000052,STU000005,SCH047,2024-04-01,20,20,
ATT00000053,STU000005,SCH047,2024-05-01,20,15,Unauthorised
ATT00000054,STU000005,SCH047,2024-06-01,21,17,Medical
ATT00000055,STU000005,SCH047,2024-07-01,22,19,Other
ATT00000056,STU000005,SCH047,2024-08-01,18,18,
ATT00000057,STU000005,SCH047,2024-09-01,18,14,Family
ATT00000058,STU000005,SCH047,2024-10-01,19,18,Illness
ATT00000059,STU000005,SCH047,2024-11-01,20,19,Unauthorised
ATT00000060,STU000005,SCH047,2024-12-01,10,8,Illness
ATT00000061,STU000006,SCH013,2024-01-01,0,0,
ATT00000062,STU000006,SCH013,2024-02-01,20,15,Medical
ATT00000063,STU000006,SCH013,2024-03-01,20,16,Unauthorised
ATT00000064,STU000006,SCH013,2024-04-01,19,16,Medical
ATT00000065,STU000006,SCH013,2024-05-01,22,19,Illness
ATT00000066,STU000006,SCH013,2024-06-01,19,16,Medical
ATT00000067,STU000006,SCH013,2024-07-01,22,17,Family
ATT00000068,STU000006,SCH013,2024-08-01,19,18,Family
ATT00000069,STU000006,SCH013,2024-09-01,20,17,Other
ATT00000070,STU000006,SCH013,2024-10-01,20,19,Illness
ATT00000071,STU000006,SCH013,2024-11-01,18,14,Unauthorised
ATT00000072,STU000006,SCH013,2024-12-01,12,6,Unauthorised
ATT00000073,STU000007,SCH016,2024-01-01,0,0,
ATT00000074,STU000007,SCH016,2024-02-01,21,18,Medical
ATT00000075,STU000007,SCH016,2024-03-01,18,15,Family
ATT00000076,STU000007,SCH016,2024-04-01,22,16,Unauthorised
ATT00000077,STU000007,SCH016,2024-05-01,18,13,Medical
ATT00000078,STU000007,SCH016,2024-06-01,20,20,
ATT00000079,STU000007,SCH016,2024-07-01,18,17,Illness
ATT00000080,STU000007,SCH016,2024-08-01,22,20,Illness
ATT00000081,STU000007,SCH016,2024-09-01,21,20,Family
ATT00000082,STU000007,SCH016,2024-10-01,21,19,Family
ATT00000083,STU000007,SCH016,2024-11-01,19,17,Medical
ATT00000084,STU000007,SCH016,2024-12-01,12,7,Unauthorised
ATT00000085,STU000008,SCH036,2024-01-01,0,0,
ATT00000086,STU000008,SCH036,2024-02-01,20,17,Illness
ATT00000087,STU000008,SCH036,2024-03-01,19,13,Illness
ATT00000088,STU000008,SCH036,2024-04-01,19,13,Other
ATT00000089,STU000008,SCH036,2024-05-01,20,15,Medical
ATT00000090,STU000008,SCH036,2024-06-01,21,16,Family
ATT00000091,STU000008,SCH036,2024-07-01,21,19,Unauthorised
ATT00000092,STU000008,SCH036,2024-08-01,18,18,
ATT00000093,STU000008,SCH036,2024-09-01,22,16,Other
ATT00000094,STU000008,SCH036,2024-10-01,22,21,Other
ATT00000095,STU000008,SCH036,2024-11-01,22,22,
ATT00000096,STU000008,SCH036,2024-12-01,12,7,Family
ATT00000097,STU000009,SCH006,2024-01-01,0,0,
ATT00000098,STU000009,SCH006,2024-02-01,20,19,Unauthorised
ATT00000099,STU000009,SCH006,2024-03-01,20,14,Family
ATT00000100,STU000009,SCH006,2024-04-01,20,15,Medical
ATT00000101,STU000009,SCH006,2024-05-01,19,13,Other
ATT00000102,STU000009,SCH006,2024-06-01,21,15,Illness
ATT00000103,STU000009,SCH006,2024-07-01,21,16,Other
ATT00000104,STU000009,SCH006,2024-08-01,18,12,Family
ATT00000105,STU000009,SCH006,2024-09-01,22,20,Medical
ATT00000106,STU000009,SCH006,2024-10-01,20,14,Illness
ATT00000107,STU000009,SCH006,2024-11-01,19,14,Unauthorised
ATT00000108,STU000009,SCH006,2024-12-01,10,7,Unauthorised
ATT00000109,STU000010,SCH031,2024-01-01,0,0,
ATT00000110,STU000010,SCH031,2024-02-01,22,22,
ATT00000111,STU000010,SCH031,2024-03-01,22,16,Unauthorised
ATT00000112,STU000010,SCH031,2024-04-01,18,16,Other
ATT00000113,STU000010,SCH031,2024-05-01,19,14,Unauthorised
ATT00000114,STU000010,SCH031,2024-06-01,18,12,Unauthorised
