assessment_id,student_id,school_id,assessment_year,domain,score,proficiency_band
ASM202500000001,STU000001,SCH009,2025,Reading,463,Medium
ASM202500000002,STU000001,SCH009,2025,Numeracy,497,Medium
ASM202500000003,STU000001,SCH009,2025,Writing,464,Medium
ASM202500000004,STU000002,SCH001,2025,Reading,528,Medium
ASM202500000005,STU000002,SCH001,2025,Numeracy,502,Medium
ASM202500000006,STU000002,SCH001,2025,Writing,527,Medium
ASM202500000007,STU000003,SCH007,2025,Reading,426,Medium
ASM202500000008,STU000003,SCH007,2025,Numeracy,487,Medium
ASM202500000009,STU000003,SCH007,2025,Writing,471,Medium
ASM202500000010,STU000004,SCH047,2025,Reading,393,Low
ASM202500000011,STU000004,SCH047,2025,Numeracy,320,Low
ASM202500000012,STU000004,SCH047,2025,Writing,368,Low
ASM202500000013,STU000005,SCH047,2025,Reading,385,Low
ASM202500000014,STU000005,SCH047,2025,Numeracy,326,Low
ASM202500000015,STU000005,SCH047,2025,Writing,427,Medium
ASM202500000016,STU000006,SCH049,2025,Reading,578,High
ASM202500000017,STU000006,SCH049,2025,Numeracy,624,High
ASM202500000018,STU000006,SCH049,2025,Writing,583,High
ASM202500000019,STU000007,SCH037,2025,Reading,493,Medium
ASM202500000020,STU000007,SCH037,2025,Numeracy,415,Medium
ASM202500000021,STU000007,SCH037,2025,Writing,422,Medium
ASM202500000022,STU000008,SCH036,2025,Reading,276,Low
ASM202500000023,STU000008,SCH036,2025,Numeracy,326,Low
ASM202500000024,STU000008,SCH036,2025,Writing,323,Low
ASM202500000025,STU000009,SCH027,2025,Reading,452,Medium
ASM202500000026,STU000009,SCH027,2025,Numeracy,427,Medium
ASM202500000027,STU000009,SCH027,2025,Writing,442,Medium
ASM202500000028,STU000010,SCH031,2025,Reading,411,Medium
ASM202500000029,STU000010,SCH031,2025,Numeracy,401,Medium
ASM202500000030,STU000010,SCH031,2025,Writing,386,Low
ASM202500000031,STU000011,SCH040,2025,Reading,598,High
ASM202500000032,STU000011,SCH040,2025,Numeracy,566,High
ASM202500000033,STU000011,SCH040,2025,Writing,521,Medium
ASM202500000034,STU000012,SCH045,2025,Reading,469,Medium
ASM202500000035,STU000012,SCH045,2025,Numeracy,463,Medium
ASM202500000036,STU000012,SCH045,2025,Writing,430,Medium
ASM202500000037,STU000014,SCH038,2025,Reading,496,Medium
ASM202500000038,STU000014,SCH038,2025,Numeracy,428,Medium
ASM202500000039,STU000014,SCH038,2025,Writing,437,Medium
ASM202500000040,STU000015,SCH038,2025,Reading,416,Medium
ASM202500000041,STU000015,SCH038,2025,Numeracy,453,Medium
ASM202500000042,STU000015,SCH038,2025,Writing,351,Low
ASM202500000043,STU000016,SCH007,2025,Reading,371,Low
