student_id,school_id,year_level,gender,enrolment_date,status
STU000001,SCH009,6,Male,2024-05-27,Active
STU000002,SCH001,7,Female,2022-07-26,Active
STU000003,SCH007,6,Female,2022-10-01,Active
STU000004,SCH047,1,Male,2019-02-08,Active
STU000005,SCH047,3,Male,2019-03-24,Active
STU000006,SCH049,11,Female,2020-01-22,Active
STU000007,SCH037,7,Male,2022-12-21,Active
STU000008,SCH036,1,Female,2024-01-24,Active
STU000009,SCH027,7,Male,2019-11-13,Active
STU000010,SCH031,2,Male,2018-08-29,Active
STU000011,SCH040,11,Female,2023-02-07,Active
STU000012,SCH045,6,Non-specified,2024-03-26,Active
STU000013,SCH032,1,Female,2020-06-10,Left
STU000014,SCH038,6,Male,2021-07-08,Active
STU000015,SCH038,4,Male,2023-12-16,Active
STU000016,SCH007,1,Male,2018-10-08,Active
STU000017,SCH039,12,Female,2024-05-22,Transferred
STU000018,SCH044,12,Male,2022-09-14,Transferred
STU000019,SCH037,10,Male,2020-04-16,Active
STU000020,SCH021,2,Female,2019-06-21,Active
STU000021,SCH020,4,Female,2018-10-25,Active
STU000022,SCH040,12,Female,2020-05-23,Active
STU000023,SCH009,3,Male,2020-09-27,Active
STU000024,SCH011,8,Male,2021-05-24,Active
STU000025,SCH042,5,Female,2024-03-21,Active
STU000026,SCH003,1,Male,2019-07-05,Active
STU000027,SCH007,6,Male,2021-01-20,Active
STU000028,SCH014,12,Female,2020-12-17,Active
STU000029,SCH017,8,Female,2022-10-01,Active
STU000030,SCH003,1,Female,2019-06-20,Active
STU000031,SCH017,9,Male,2024-03-09,Active
STU000032,SCH036,1,Female,2019-09-03,Active
STU000033,SCH024,5,Male,2022-10-27,Active
STU000034,SCH020,2,Male,2018-06-13,Transferred
STU000035,SCH014,11,Female,2019-02-26,Active
STU000036,SCH017,7,Female,2024-12-17,Active
STU000037,SCH016,6,Female,2019-12-27,Transferred
STU000038,SCH002,2,Male,2021-09-22,Active
STU000039,SCH027,9,Female,2019-03-19,Active
STU000040,SCH025,7,Female,2020-03-28,Active
STU000041,SCH030,6,Female,2020-07-21,Active
STU000042,SCH043,1,Female,2021-02-15,Transferred
STU000043,SCH024,3,Female,2023-09-18,Active
STU000044,SCH035,2,Male,2019-04-18,Transferred
STU000045,SCH001,9,Male,2020-12-23,Transferred
STU000046,SCH039,12,Female,2021-07-08,Left
STU000047,SCH009,1,Female,2024-06-19,Active
STU000048,SCH003,5,Female,2023-10-31,Transferred
STU000049,SCH035,6,Male,2020-03-18,Active
STU000050,SCH005,10,Male,2019-05-26,Active
STU000051,SCH020,5,Female,2022-07-31,Active
STU000052,SCH045,3,Male,2020-02-25,Active
STU000053,SCH025,9,Male,2021-05-17,Active
STU000054,SCH001,10,Female,2022-10-27,Active
STU000055,SCH039,12,Female,2022-12-17,Left
STU000056,SCH031,4,Male,2019-11-27,Active
STU000057,SCH019,12,Female,2020-08-20,Left
STU000058,SCH030,7,Female,2018-04-11,Active
STU000059,SCH031,5,Male,2018-10-26,Active
STU000060,SCH041,12,Male,2022-04-22,Active
STU000061,SCH016,1,Male,2018-01-23,Transferred
STU000062,SCH047,1,Male,2020-06-15,Active
STU000063,SCH045,5,Female,2024-04-02,Active
STU000064,SCH008,4,Female,2023-03-19,Active
STU000065,SCH036,5,Female,2022-12-18,Active
STU000066,SCH047,5,Female,2024-02-23,Active
STU000067,SCH011,12,Male,2023-01-18,Active
STU000068,SCH030,7,Male,2023-11-06,Active
STU000069,SCH016,3,Female,2021-03-16,Active
STU000070,SCH022,3,Male,2018-11-27,Active
STU000071,SCH015,4,Male,2020-05-26,Active
STU000072,SCH027,10,Male,2022-08-31,Active
STU000073,SCH027,10,Male,2024-07-20,Transferred
STU000074,SCH013,7,Male,2024-06-16,Active
STU000075,SCH001,10,Female,2022-05-17,Active
STU000076,SCH027,9,Female,2021-01-22,Active
