student_id,school_id,year_level,gender,enrolment_date,status
STU000001,SCH015,6,Male,2018-01-07,Active
STU000002,SCH021,9,Female,2018-10-03,Active
STU000003,SCH002,11,Male,2022-12-02,Active
STU000004,SCH040,4,Female,2020-10-30,Active
STU000005,SCH043,8,Female,2018-06-16,Active
STU000006,SCH047,2,Male,2021-11-15,Active
STU000007,SCH031,5,Male,2021-03-16,Active
STU000008,SCH042,12,Male,2022-08-14,Active
STU000009,SCH001,11,Male,2022-10-05,Active
STU000010,SCH043,9,Female,2019-04-13,Active
STU000011,SCH038,6,Male,2021-04-12,Active
STU000012,SCH020,0,Female,2022-02-23,Active
STU000013,SCH045,8,Female,2022-05-16,Active
STU000014,SCH029,8,Male,2018-01-16,Active
STU000015,SCH006,1,Female,2019-05-29,Active
STU000016,SCH005,1,Male,2021-10-24,Active
STU000017,SCH034,11,Male,2021-09-19,Active
STU000018,SCH025,5,Female,2021-10-22,Active
STU000019,SCH005,0,Female,2023-07-20,Active
STU000020,SCH027,8,Female,2023-10-14,Active
STU000021,SCH002,12,Male,2018-06-05,Active
STU000022,SCH041,4,Female,2018-01-12,Active
STU000023,SCH027,9,Female,2018-05-20,Active
STU000024,SCH032,8,Male,2023-04-22,Active
STU000025,SCH020,0,Female,2019-03-04,Active
STU000026,SCH036,4,Female,2021-01-01,Active
STU000027,SCH023,9,Male,2021-10-17,Active
STU000028,SCH005,1,Female,2022-12-13,Active
STU000029,SCH024,12,Male,2018-01-21,Active
STU000030,SCH028,5,Male,2021-11-25,Active
STU000031,SCH021,4,Female,2018-05-21,Active
STU000032,SCH014,2,Female,2022-10-29,Active
STU000033,SCH040,3,Male,2018-04-18,Active
STU000034,SCH009,8,Non-specified,2021-07-26,Active
STU000035,SCH011,0,Female,2019-03-04,Active
STU000036,SCH029,9,Male,2022-06-25,Active
STU000037,SCH036,4,Male,2022-05-03,Active
STU000038,SCH008,4,Female,2019-02-12,Active
STU000039,SCH014,0,Female,2019-01-10,Active
STU000040,SCH008,0,Female,2022-08-14,Active
STU000041,SCH013,4,Female,2021-11-06,Active
STU000042,SCH049,12,Male,2020-04-18,Active
STU000043,SCH038,4,Female,2023-04-02,Active
STU000044,SCH041,6,Female,2018-11-26,Active
STU000045,SCH009,9,Female,2023-12-03,Active
STU000046,SCH045,8,Male,2019-04-08,Active
STU000047,SCH029,7,Female,2021-02-26,Active
STU000048,SCH022,12,Male,2021-03-28,Active
STU000049,SCH037,3,Male,2021-11-24,Active
STU000050,SCH027,9,Male,2019-01-29,Active
STU000051,SCH017,11,Female,2018-12-06,Active
STU000052,SCH005,2,Male,2023-07-24,Active
STU000053,SCH043,7,Female,2018-03-30,Active
STU000054,SCH045,8,Female,2018-02-25,Active
STU000055,SCH030,5,Female,2020-09-16,Active
STU000056,SCH048,5,Female,2019-08-15,Active
STU000057,SCH021,0,Male,2020-10-01,Active
STU000058,SCH002,11,Male,2021-07-27,Active
STU000059,SCH034,11,Female,2023-09-04,Active
STU000060,SCH012,7,Female,2018-03-08,Active
STU000061,SCH009,9,Male,2018-01-19,Active
STU000062,SCH018,1,Female,2018-08-16,Active
STU000063,SCH022,12,Male,2018-06-05,Active
STU000064,SCH029,7,Female,2022-04-03,Active
STU000065,SCH027,8,Male,2018-05-18,Active
STU000066,SCH010,9,Male,2023-05-09,Active
STU000067,SCH034,12,Male,2018-04-27,Active
STU000068,SCH010,2,Female,2023-12-02,Active
STU000069,SCH021,9,Male,2018-03-08,Active
STU000070,SCH047,3,Male,2020-02-29,Active
STU000071,SCH005,3,Female,2020-11-18,Active
STU000072,SCH001,11,Male,2019-12-09,Active
STU000073,SCH034,12,Female,2020-12-21,Active
STU000074,SCH004,5,Male,2022-04-03,Active
STU000075,SCH025,0,Female,2021-10-24,Active
STU000076,SCH045,8,Male,2018-04-13,Active
STU000077,SCH045,9,Male,2019-05-16,Active
STU000078,SCH001,11,Female,2019-08-30,Active
STU000079,SCH004,4,Male,2022-07-14,Active
STU000080,SCH019,2,Female,2023-03-29,Active
STU000081,SCH021,9,Female,2018-10-04,Active
STU000082,SCH016,0,Male,2022-09-28,Active
STU000083,SCH038,5,Female,2020-12-11,Active
STU000084,SCH003,1,Male,2018-02-23,Active
STU000085,SCH013,3,Male,2020-03-04,Active
STU000086,SCH019,6,Female,2019-11-11,Active
STU000087,SCH041,2,Female,2022-10-09,Active
STU000088,SCH049,11,Male,2023-07-16,Active
STU000089,SCH015,6,Male,2019-04-23,Active
STU000090,SCH008,1,Male,2021-01-31,Active
STU000091,SCH042,11,Female,2018-05-25,Active
STU000092,SCH008,3,Male,2022-02-16,Active
STU000093,SCH048,1,Male,2022-01-06,Active
STU000094,SCH006,0,Female,2019-06-20,Active
STU000095,SCH012,9,Female,2021-04-28,Active
STU000096,SCH017,11,Female,2018-04-25,Active
STU000097,SCH022,11,Female,2022-09-13,Active
STU000098,SCH046,2,Female,2021-07-07,Active
STU000099,SCH002,12,Female,2019-09-29,Active
STU000100,SCH022,12,Female,2023-02-08,Active
STU000101,SCH002,12,Male,2021-03-28,Active
STU000102,SCH037,3,Male,2020-08-17,Active
STU000103,SCH006,5,Male,2020-12-01,Active
STU000104,SCH019,2,Female,2018-08-05,Active
STU000105,SCH044,9,Female,2019-03-16,Active
STU000106,SCH046,1,Female,2023-03-01,Active
STU000107,SCH016,2,Male,2022-04-07,Active
STU000108,SCH045,8,Male,2019-07-21,Active
STU000109,SCH008,4,Male,2018-03-17,Active
STU000110,SCH019,3,Female,2019-08-25,Active
STU000111,SCH017,12,Female,2018-06-27,Active
STU000112,SCH036,1,Male,2020-10-11,Active
STU000113,SCH010,12,Female,2022-09-24,Active
STU000114,SCH046,2,Female,2019-03-17,Active
STU000115,SCH029,9,Female,2023-01-19,Active
STU000116,SCH027,7,Male,2020-05-21,Active
STU000117,SCH047,4,Female,2023-11-11,Active
STU000118,SCH012,8,Female,2018-12-27,Active
STU000119,SCH040,5,Male,2020-03-06,Active
STU000120,SCH049,12,Male,2021-11-06,Active
STU000121,SCH002,11,Female,2022-10-12,Active
STU000122,SCH039,5,Male,2022-11-11,Active
STU000123,SCH036,6,Male,2020-07-17,Active
STU000124,SCH029,10,Male,2020-03-28,Active
STU000125,SCH033,0,Male,2020-03-24,Active
STU000126,SCH026,1,Male,2018-11-09,Active
STU000127,SCH012,7,Male,2022-08-22,Active
STU000128,SCH018,0,Female,2023-06-01,Active
STU000129,SCH036,6,Non-specified,2018-10-25,Active
STU000130,SCH032,7,Female,2020-07-11,Active
STU000131,SCH030,0,Female,2022-08-07,Active
STU000132,SCH013,2,Non-specified,2018-09-08,Active
STU000133,SCH022,12,Male,2019-05-05,Active
STU000134,SCH008,6,Male,2023-12-03,Active
STU000135,SCH027,8,Female,2022-06-26,Active
STU000136,SCH020,2,Male,2020-04-19,Active
STU000137,SCH028,4,Female,2019-07-30,Active
STU000138,SCH025,3,Female,2020-05-28,Active
STU000139,SCH029,7,Female,2022-05-28,Active
STU000140,SCH022,12,Male,2023-04-16,Active
