student_id,school_id,year_level,gender,enrolment_date,status
STU002176,SCH047,5,Male,2023-10-31,Active
STU005314,SCH036,3,Male,2021-05-09,Active
STU006835,SCH015,2,Female,2020-10-07,Active
STU004231,SCH005,4,Male,2020-10-07,Active
STU006790,SCH041,1,Female,2023-11-17,Active
STU007859,SCH046,9,Female,2021-05-09,Active
STU004137,SCH045,10,Female,2019-04-02,Active
STU006195,SCH012,8,Male,2019-09-23,Active
STU003015,SCH038,4,Male,2018-04-29,Active
STU007890,SCH032,8,Female,2019-03-01,Active
STU007900,SCH011,1,Male,2018-05-13,Active
STU000772,SCH006,1,Male,2022-12-21,Active
STU001221,SCH038,2,Female,2020-04-01,Active
STU000618,SCH048,0,Female,2020-08-02,Active
STU008251,SCH046,0,Non-specified,2021-07-04,Active
STU001991,SCH010,11,Female,2019-10-10,Active
STU003909,SCH001,11,Female,2020-02-02,Active
STU009569,SCH013,1,Male,2020-06-09,Active
STU004385,SCH002,11,Female,2019-10-22,Left
STU000353,SCH008,1,Female,2023-10-18,Left
STU006529,SCH018,2,Male,2023-06-22,Left
STU009039,SCH038,5,Male,2022-03-29,Left
STU007521,SCH039,2,Female,2021-02-15,Left
STU002896,SCH029,9,Female,2020-12-07,Left
STU003241,SCH013,4,Male,2018-08-07,Left
STU000105,SCH044,9,Female,2019-03-16,Left
STU004329,SCH030,0,Female,2018-09-27,Left
STU003449,SCH022,11,Male,2020-04-12,Left
STU010251,SCH041,1,Male,2024-12-01,Active
STU010252,SCH036,0,Male,2024-12-01,Active
STU010253,SCH012,9,Female,2024-12-01,Active
STU010254,SCH004,0,Female,2024-12-01,Active
STU010255,SCH027,7,Female,2024-12-01,Active
STU010256,SCH041,0,Female,2024-12-01,Active
STU010257,SCH005,0,Female,2024-12-01,Active
STU010258,SCH021,12,Male,2024-12-01,Active
STU010259,SCH003,0,Male,2024-12-01,Active
STU010260,SCH029,9,Male,2024-12-01,Active
STU010261,SCH031,11,Female,2024-12-01,Active
STU010262,SCH050,7,Female,2024-12-01,Active
STU010263,SCH005,4,Female,2024-12-01,Active
STU010264,SCH026,0,Female,2024-12-01,Active
STU010265,SCH006,1,Female,2024-12-01,Active
STU010266,SCH022,11,Male,2024-12-01,Active
STU010267,SCH010,10,Female,2024-12-01,Active
STU010268,SCH032,7,Male,2024-12-01,Active
STU010269,SCH027,9,Female,2024-12-01,Active
STU010270,SCH021,5,Female,2024-12-01,Active
STU010271,SCH018,3,Male,2024-12-01,Active
STU010272,SCH007,2,Male,2024-12-01,Active
STU010273,SCH041,0,Female,2024-12-01,Active
STU010274,SCH046,7,Male,2024-12-01,Active
STU010275,SCH005,0,Female,2024-12-01,Active
