attendance_id,student_id,school_id,attendance_month,possible_days,attended_days,absence_reason
ATT202509000001,STU000001,SCH010,2025-09-01,15,13,Other
ATT202509000002,STU000002,SCH021,2025-09-01,15,14,Other
ATT202509000003,STU000003,SCH002,2025-09-01,14,11,Family
ATT202509000004,STU000004,SCH040,2025-09-01,18,17,Unauthorised
ATT202509000005,STU000005,SCH043,2025-09-01,15,13,Medical
ATT202509000006,STU000006,SCH047,2025-09-01,17,16,Family
ATT202509000007,STU000007,SCH031,2025-09-01,15,14,Unauthorised
ATT202509000009,STU000009,SCH001,2025-09-01,18,16,Unauthorised
ATT202509000010,STU000010,SCH043,2025-09-01,14,12,Illness
ATT202509000011,STU000011,SCH023,2025-09-01,15,13,Illness
ATT202509000012,STU000012,SCH020,2025-09-01,15,12,Unauthorised
ATT202509000013,STU000013,SCH045,2025-09-01,17,15,Unauthorised
ATT202509000014,STU000014,SCH029,2025-09-01,18,17,Unauthorised
ATT202509000015,STU000015,SCH006,2025-09-01,16,16,
ATT202509000016,STU000016,SCH005,2025-09-01,15,14,Illness
ATT202509000017,STU000017,SCH021,2025-09-01,16,13,Illness
ATT202509000018,STU000018,SCH008,2025-09-01,14,14,
ATT202509000019,STU000019,SCH005,2025-09-01,17,16,Family
ATT202509000020,STU000020,SCH031,2025-09-01,14,13,Unauthorised
ATT202509000022,STU000022,SCH041,2025-09-01,15,14,Unauthorised
ATT202509000023,STU000023,SCH027,2025-09-01,14,13,Illness
ATT202509000024,STU000024,SCH032,2025-09-01,14,13,Family
ATT202509000025,STU000025,SCH020,2025-09-01,14,12,Unauthorised
ATT202509000026,STU000026,SCH036,2025-09-01,16,16,
ATT202509000027,STU000027,SCH023,2025-09-01,16,15,Unauthorised
ATT202509000028,STU000028,SCH005,2025-09-01,18,17,Family
ATT202509000030,STU000030,SCH028,2025-09-01,18,16,Other
ATT202509000031,STU000031,SCH021,2025-09-01,14,13,Medical
ATT202509000032,STU000032,SCH014,2025-09-01,18,17,Unauthorised
ATT202509000033,STU000033,SCH040,2025-09-01,18,18,
ATT202509000034,STU000034,SCH009,2025-09-01,14,13,Other
ATT202509000035,STU000035,SCH014,2025-09-01,17,16,Medical
ATT202509000036,STU000036,SCH029,2025-09-01,15,13,Unauthorised
ATT202509000037,STU000037,SCH036,2025-09-01,16,14,Family
ATT202509000038,STU000038,SCH008,2025-09-01,15,14,Illness
ATT202509000039,STU000039,SCH014,2025-09-01,18,16,Family
ATT202509000040,STU000040,SCH008,2025-09-01,17,16,Unauthorised
ATT202509000041,STU000041,SCH013,2025-09-01,18,17,Family
ATT202509000043,STU000043,SCH038,2025-09-01,14,13,Other
ATT202509000045,STU000045,SCH009,2025-09-01,18,16,Other
ATT202509000046,STU000046,SCH045,2025-09-01,14,12,Illness
ATT202509000047,STU000047,SCH029,2025-09-01,16,14,Illness
ATT202509000049,STU000049,SCH037,2025-09-01,17,16,Family
ATT202509000050,STU000050,SCH027,2025-09-01,18,17,Medical
ATT202509000051,STU000051,SCH017,2025-09-01,14,12,Illness
ATT202509000052,STU000052,SCH005,2025-09-01,18,18,
ATT202509000053,STU000053,SCH043,2025-09-01,15,14,Other
ATT202509000054,STU000054,SCH045,2025-09-01,16,14,Illness
ATT202509000055,STU000055,SCH030,2025-09-01,16,14,Family
ATT202509000056,STU000056,SCH048,2025-09-01,15,15,
ATT202509000057,STU000057,SCH021,2025-09-01,17,16,Unauthorised
ATT202509000058,STU000058,SCH002,2025-09-01,18,14,Illness
