assessment_id,student_id,school_id,assessment_year,domain,score,proficiency_band
ASM2025REA000001,STU000001,SCH010,2025,Reading,404,Medium
ASM2025NUM000001,STU000001,SCH010,2025,Numeracy,391,Low
ASM2025WRI000001,STU000001,SCH010,2025,Writing,388,Low
ASM2025REA000002,STU000002,SCH021,2025,Reading,429,Medium
ASM2025NUM000002,STU000002,SCH021,2025,Numeracy,433,Medium
ASM2025WRI000002,STU000002,SCH021,2025,Writing,460,Medium
ASM2025REA000003,STU000003,SCH002,2025,Reading,445,Medium
ASM2025NUM000003,STU000003,SCH002,2025,Numeracy,433,Medium
ASM2025WRI000003,STU000003,SCH002,2025,Writing,402,Medium
ASM2025REA000004,STU000004,SCH040,2025,Reading,432,Medium
ASM2025NUM000004,STU000004,SCH040,2025,Numeracy,460,Medium
ASM2025WRI000004,STU000004,SCH040,2025,Writing,429,Medium
ASM2025REA000005,STU000005,SCH043,2025,Reading,377,Low
ASM2025NUM000005,STU000005,SCH043,2025,Numeracy,439,Medium
ASM2025WRI000005,STU000005,SCH043,2025,Writing,378,Low
ASM2025REA000006,STU000006,SCH047,2025,Reading,495,Medium
ASM2025NUM000006,STU000006,SCH047,2025,Numeracy,513,Medium
ASM2025WRI000006,STU000006,SCH047,2025,Writing,471,Medium
ASM2025REA000007,STU000007,SCH031,2025,Reading,447,Medium
ASM2025NUM000007,STU000007,SCH031,2025,Numeracy,464,Medium
ASM2025WRI000007,STU000007,SCH031,2025,Writing,463,Medium
ASM2025REA000009,STU000009,SCH001,2025,Reading,460,Medium
ASM2025NUM000009,STU000009,SCH001,2025,Numeracy,428,Medium
ASM2025WRI000009,STU000009,SCH001,2025,Writing,403,Medium
ASM2025REA000010,STU000010,SCH043,2025,Reading,426,Medium
ASM2025NUM000010,STU000010,SCH043,2025,Numeracy,408,Medium
ASM2025WRI000010,STU000010,SCH043,2025,Writing,439,Medium
ASM2025REA000011,STU000011,SCH023,2025,Reading,398,Low
ASM2025NUM000011,STU000011,SCH023,2025,Numeracy,376,Low
ASM2025WRI000011,STU000011,SCH023,2025,Writing,384,Low
ASM2025REA000012,STU000012,SCH020,2025,Reading,363,Low
ASM2025NUM000012,STU000012,SCH020,2025,Numeracy,357,Low
ASM2025WRI000012,STU000012,SCH020,2025,Writing,340,Low
ASM2025REA000013,STU000013,SCH045,2025,Reading,447,Medium
ASM2025NUM000013,STU000013,SCH045,2025,Numeracy,512,Medium
ASM2025WRI000013,STU000013,SCH045,2025,Writing,532,Medium
ASM2025REA000014,STU000014,SCH029,2025,Reading,408,Medium
