assessment_id,student_id,school_id,assessment_year,domain,score,proficiency_band
ASM00000001,STU000001,SCH009,2024,Reading,387,Low
ASM00000002,STU000001,SCH009,2024,Numeracy,477,Medium
ASM00000003,STU000001,SCH009,2024,Writing,436,Medium
ASM00000004,STU000001,SCH009,2025,Reading,474,Medium
ASM00000005,STU000001,SCH009,2025,Numeracy,408,Medium
ASM00000006,STU000001,SCH009,2025,Writing,447,Medium
ASM00000007,STU000002,SCH016,2024,Reading,493,Medium
ASM00000008,STU000002,SCH016,2024,Numeracy,397,Low
ASM00000009,STU000002,SCH016,2024,Writing,399,Low
ASM00000010,STU000002,SCH016,2025,Reading,491,Medium
ASM00000011,STU000002,SCH016,2025,Numeracy,478,Medium
ASM00000012,STU000002,SCH016,2025,Writing,436,Medium
ASM00000013,STU000003,SCH007,2024,Reading,478,Medium
ASM00000014,STU000003,SCH007,2024,Numeracy,381,Low
ASM00000015,STU000003,SCH007,2024,Writing,426,Medium
ASM00000016,STU000003,SCH007,2025,Reading,428,Medium
ASM00000017,STU000003,SCH007,2025,Numeracy,475,Medium
ASM00000018,STU000003,SCH007,2025,Writing,454,Medium
ASM00000019,STU000004,SCH047,2024,Reading,282,Low
ASM00000020,STU000004,SCH047,2024,Numeracy,261,Low
ASM00000021,STU000004,SCH047,2024,Writing,250,Low
ASM00000022,STU000004,SCH047,2025,Reading,351,Low
ASM00000023,STU000004,SCH047,2025,Numeracy,279,Low
ASM00000024,STU000004,SCH047,2025,Writing,331,Low
ASM00000025,STU000005,SCH047,2024,Reading,404,Medium
ASM00000026,STU000005,SCH047,2024,Numeracy,322,Low
ASM00000027,STU000005,SCH047,2024,Writing,397,Low
ASM00000028,STU000005,SCH047,2025,Reading,365,Low
ASM00000029,STU000005,SCH047,2025,Numeracy,345,Low
ASM00000030,STU000005,SCH047,2025,Writing,354,Low
ASM00000031,STU000006,SCH013,2024,Reading,576,High
ASM00000032,STU000006,SCH013,2024,Numeracy,577,High
ASM00000033,STU000006,SCH013,2024,Writing,494,Medium
ASM00000034,STU000006,SCH013,2025,Reading,581,High
ASM00000035,STU000006,SCH013,2025,Numeracy,505,Medium
ASM00000036,STU000006,SCH013,2025,Writing,565,High
ASM00000037,STU000007,SCH016,2024,Reading,420,Medium
ASM00000038,STU000007,SCH016,2024,Numeracy,407,Medium
ASM00000039,STU000007,SCH016,2024,Writing,466,Medium
ASM00000040,STU000007,SCH016,2025,Reading,516,Medium
ASM00000041,STU000007,SCH016,2025,Numeracy,428,Medium
ASM00000042,STU000007,SCH016,2025,Writing,477,Medium
ASM00000043,STU000008,SCH036,2024,Reading,259,Low
ASM00000044,STU000008,SCH036,2024,Numeracy,319,Low
ASM00000045,STU000008,SCH036,2024,Writing,250,Low
ASM00000046,STU000008,SCH036,2025,Reading,250,Low
ASM00000047,STU000008,SCH036,2025,Numeracy,317,Low
ASM00000048,STU000008,SCH036,2025,Writing,293,Low
ASM00000049,STU000009,SCH006,2024,Reading,424,Medium
ASM00000050,STU000009,SCH006,2024,Numeracy,470,Medium
ASM00000051,STU000009,SCH006,2024,Writing,395,Low
ASM00000052,STU000009,SCH006,2025,Reading,499,Medium
ASM00000053,STU000009,SCH006,2025,Numeracy,489,Medium
ASM00000054,STU000009,SCH006,2025,Writing,399,Low
ASM00000055,STU000010,SCH031,2024,Reading,390,Low
ASM00000056,STU000010,SCH031,2024,Numeracy,343,Low
ASM00000057,STU000010,SCH031,2024,Writing,336,Low
ASM00000058,STU000010,SCH031,2025,Reading,321,Low
ASM00000059,STU000010,SCH031,2025,Numeracy,317,Low
ASM00000060,STU000010,SCH031,2025,Writing,344,Low
ASM00000061,STU000011,SCH001,2024,Reading,507,Medium
ASM00000062,STU000011,SCH001,2024,Numeracy,569,High
ASM00000063,STU000011,SCH001,2024,Writing,551,High
ASM00000064,STU000011,SCH001,2025,Reading,617,High
ASM00000065,STU000011,SCH001,2025,Numeracy,532,Medium
ASM00000066,STU000011,SCH001,2025,Writing,488,Medium
ASM00000067,STU000012,SCH045,2024,Reading,461,Medium
ASM00000068,STU000012,SCH045,2024,Numeracy,460,Medium
ASM00000069,STU000012,SCH045,2024,Writing,362,Low
ASM00000070,STU000012,SCH045,2025,Reading,416,Medium
ASM00000071,STU000012,SCH045,2025,Numeracy,369,Low
ASM00000072,STU000012,SCH045,2025,Writing,456,Medium
ASM00000073,STU000013,SCH032,2024,Reading,369,Low
ASM00000074,STU000013,SCH032,2024,Numeracy,327,Low
ASM00000075,STU000013,SCH032,2024,Writing,260,Low
ASM00000076,STU000013,SCH032,2025,Reading,313,Low
ASM00000077,STU000013,SCH032,2025,Numeracy,339,Low
ASM00000078,STU000013,SCH032,2025,Writing,294,Low
ASM00000079,STU000014,SCH038,2024,Reading,434,Medium
ASM00000080,STU000014,SCH038,2024,Numeracy,437,Medium
ASM00000081,STU000014,SCH038,2024,Writing,391,Low
ASM00000082,STU000014,SCH038,2025,Reading,407,Medium
ASM00000083,STU000014,SCH038,2025,Numeracy,394,Low
ASM00000084,STU000014,SCH038,2025,Writing,477,Medium
ASM00000085,STU000015,SCH038,2024,Reading,436,Medium
ASM00000086,STU000015,SCH038,2024,Numeracy,396,Low
ASM00000087,STU000015,SCH038,2024,Writing,361,Low
ASM00000088,STU000015,SCH038,2025,Reading,441,Medium
ASM00000089,STU000015,SCH038,2025,Numeracy,317,Low
ASM00000090,STU000015,SCH038,2025,Writing,333,Low
ASM00000091,STU000016,SCH033,2024,Reading,276,Low
ASM00000092,STU000016,SCH033,2024,Numeracy,260,Low
ASM00000093,STU000016,SCH033,2024,Writing,299,Low
ASM00000094,STU000016,SCH033,2025,Reading,253,Low
ASM00000095,STU000016,SCH033,2025,Numeracy,309,Low
ASM00000096,STU000016,SCH033,2025,Writing,297,Low
ASM00000097,STU000017,SCH044,2024,Reading,596,High
ASM00000098,STU000017,SCH044,2024,Numeracy,618,High
ASM00000099,STU000017,SCH044,2024,Writing,559,High
ASM00000100,STU000017,SCH044,2025,Reading,632,High
